Time	P_mech	P_ver	P_El	n
0.000000	0.000000	0.000000	0.000000	0.100000
0.000000	0.000000	0.000000	0.000000	0.100000
0.000019	0.001929	0.017363	0.019292	0.100000
0.000116	0.011575	0.104177	0.115752	0.100000
0.000601	0.059800	0.538202	0.598002	0.100000
0.003027	0.300807	2.707267	3.008075	0.100000
0.015152	1.502897	13.526075	15.028972	0.100000
0.075779	7.440313	66.962818	74.403131	0.100000
0.378915	35.377702	318.399322	353.777025	0.100000
1.894592	139.430515	1254.874639	1394.305154	0.100000
4.036876	187.063727	214.722218	401.785945	0.465581
6.593201	155.407179	50.383247	205.790426	0.755172
9.619145	131.938162	40.579458	172.517620	0.764781
13.217257	120.874101	37.104111	157.978211	0.765131
17.578467	116.965127	36.333048	153.298176	0.762991
23.021693	115.931741	36.190300	152.122041	0.762097
30.091931	115.742911	36.165966	151.908877	0.761923
39.685645	115.731959	36.164568	151.896526	0.761913
52.344587	115.851217	36.179870	152.031088	0.762023
61.818141	115.806502	36.174113	151.980615	0.761982
71.291695	115.774666	36.170028	151.944694	0.761953
81.978825	115.812355	36.174865	151.987220	0.761987
93.185541	115.927691	36.189774	152.117465	0.762093
103.460480	115.964641	36.194586	152.159227	0.762127
112.551043	115.847044	36.179332	152.026376	0.762019
121.557590	115.776638	36.170281	151.946919	0.761954
131.679136	115.781279	36.170876	151.952155	0.761959
142.936247	115.870697	36.182386	152.053083	0.762041
153.861267	115.992428	36.198216	152.190644	0.762152
163.377264	115.912651	36.187820	152.100471	0.762079
172.142872	115.795863	36.172747	151.968610	0.761972
181.599825	115.766367	36.168966	151.935333	0.761945
192.508746	115.814330	36.175119	151.989449	0.761989
203.926479	115.961035	36.194115	152.155150	0.762124
214.132091	115.990807	36.198004	152.188811	0.762151
222.991577	115.839881	36.178408	152.018290	0.762013
231.868247	115.766944	36.169040	151.935984	0.761946
242.112154	115.776751	36.170296	151.947047	0.761955
253.637646	115.887960	36.184619	152.072580	0.762057
264.634991	116.035455	36.203858	152.239314	0.762191
273.962184	115.916848	36.188365	152.105213	0.762083
282.521116	115.785929	36.171472	151.957401	0.761963
