Time	P_mech	P_ver	P_El	n
0.000000	0.000000	0.000000	0.000000	0.100000
0.000000	0.000000	0.000000	0.000000	0.100000
0.000000	0.000002	0.000018	0.000020	0.100000
0.000003	0.000012	0.000108	0.000120	0.100000
0.000015	0.000062	0.000556	0.000618	0.100000
0.000074	0.000311	0.002796	0.003107	0.100000
0.000370	0.001546	0.013917	0.015463	0.100000
0.001850	0.007513	0.067617	0.075130	0.100000
0.009250	0.032532	0.306475	0.339007	0.095964
0.046248	0.080941	0.034856	0.115797	0.698994
0.098542	0.069114	0.059571	0.128685	0.537080
0.160944	0.043770	0.188427	0.232197	0.188502
0.234809	0.026953	0.213362	0.240315	0.112159
0.322641	0.019260	0.146740	0.166000	0.116022
0.429100	0.016567	0.139490	0.156058	0.106163
0.561973	0.015858	0.137483	0.153341	0.103415
0.734561	0.015728	0.137097	0.152826	0.102916
0.968749	0.015721	0.137075	0.152796	0.102887
1.277761	0.023799	0.173214	0.197013	0.120801
1.509016	0.023770	0.173005	0.196775	0.120796
1.740271	0.023748	0.172857	0.196606	0.120792
1.835571	0.023711	0.172596	0.196306	0.120784
1.930872	0.023700	0.172524	0.196224	0.120781
2.000000	0.037625	3.796871	3.834496	0.009812
2.000000	-0.091026	0.024465	-0.066561	0.731229
2.065120	-0.013075	0.011595	-0.001480	0.113187
2.096774	-0.000000	0.000000	-0.000000	0.100005
2.096774	0.000000	0.000000	0.000000	0.100005
2.161894	0.011483	0.098072	0.109555	0.104815
2.250194	0.016065	0.145845	0.161910	0.099222
2.353213	0.017411	0.157007	0.174418	0.099823
2.482142	0.017765	0.158596	0.176361	0.100732
2.648164	0.017833	0.158829	0.176662	0.100942
2.872459	0.017839	0.158849	0.176688	0.100962
2.984645	0.017846	0.158872	0.176718	0.100985
3.025781	0.098231	0.038917	0.137148	0.716241
3.066918	0.086625	0.028423	0.115049	0.752944
3.138545	0.064689	0.028877	0.093566	0.691370
3.216253	0.052835	0.057394	0.110230	0.479321
3.309995	0.047776	0.181678	0.229454	0.208215
3.423903	0.046161	0.279223	0.325384	0.141866
3.567829	0.045777	0.310174	0.355951	0.128606
