Time	P_mech	P_ver	P_El	n
0.000000	0.000000	0.000000	0.000000	0.360000
0.000000	0.000000	0.000000	0.000000	0.360000
0.000001	0.000034	0.000060	0.000093	0.360000
0.000008	0.000201	0.000358	0.000560	0.360000
0.000044	0.001041	0.001850	0.002891	0.360000
0.000220	0.005236	0.009309	0.014545	0.360000
0.001099	0.026184	0.046550	0.072734	0.360000
0.005497	0.130203	0.222329	0.352532	0.369337
0.027484	0.632601	0.877249	1.509850	0.418983
0.137424	2.741921	2.423232	5.165153	0.530850
0.687120	6.867203	2.071719	8.938922	0.768236
1.464070	5.952878	1.338169	7.291047	0.816464
2.391183	3.880361	0.984121	4.864482	0.797693
3.488613	2.497871	0.955243	3.453115	0.723368
4.793554	1.864382	1.026237	2.890618	0.644977
6.375251	1.642599	0.998374	2.640973	0.621967
8.349367	1.584126	0.987249	2.571376	0.616062
10.349367	1.573236	0.985055	2.558291	0.614956
12.349367	1.571243	0.984650	2.555892	0.614753
14.349367	1.570878	0.984576	2.555453	0.614716
16.349367	1.570811	0.984562	2.555373	0.614709
18.349367	1.570799	0.984559	2.555358	0.614708
20.349367	1.570797	0.984559	2.555356	0.614708
22.349367	1.570796	0.984559	2.555355	0.614708
24.349367	1.570796	0.984559	2.555355	0.614708
26.349367	1.570796	0.984559	2.555355	0.614708
28.349367	1.570796	0.984559	2.555355	0.614708
30.349367	1.570796	0.984559	2.555355	0.614708
32.349367	1.570796	0.984559	2.555355	0.614708
34.349367	1.570796	0.984559	2.555355	0.614708
36.349367	1.570796	0.984559	2.555355	0.614708
38.349367	1.570796	0.984559	2.555355	0.614708
40.349367	1.570796	0.984559	2.555355	0.614708
42.349367	1.570796	0.984559	2.555355	0.614708
44.349367	1.570796	0.984559	2.555355	0.614708
46.349367	1.570796	0.984559	2.555355	0.614708
48.349367	1.570796	0.984559	2.555355	0.614708
50.349367	1.570796	0.984559	2.555355	0.614708
52.349367	1.570796	0.984559	2.555355	0.614708
54.349367	1.570796	0.984559	2.555355	0.614708
56.349367	1.570796	0.984559	2.555355	0.614708
58.349367	1.570796	0.984559	2.555355	0.614708
60.349367	1.570796	0.984559	2.555355	0.614708
62.349367	1.570796	0.984559	2.555355	0.614708
64.349367	1.570796	0.984559	2.555355	0.614708
66.349367	1.570796	0.984559	2.555355	0.614708
68.349367	1.570796	0.984559	2.555355	0.614708
70.349367	1.570796	0.984559	2.555355	0.614708
72.349367	1.570796	0.984559	2.555355	0.614708
74.349367	1.570796	0.984559	2.555355	0.614708
76.349367	1.570796	0.984559	2.555355	0.614708
78.349367	1.570796	0.984559	2.555355	0.614708
80.349367	1.570796	0.984559	2.555355	0.614708
82.349367	1.570796	0.984559	2.555355	0.614708
84.349367	1.570796	0.984559	2.555355	0.614708
86.349367	1.570796	0.984559	2.555355	0.614708
88.349367	1.570796	0.984559	2.555355	0.614708
90.349367	1.570796	0.984559	2.555355	0.614708
92.349367	1.570796	0.984559	2.555355	0.614708
94.349367	1.570796	0.984559	2.555355	0.614708
96.349367	1.570796	0.984559	2.555355	0.614708
98.349367	1.570796	0.984559	2.555355	0.614708
100.000000	1.570796	0.984559	2.555355	0.614708
