Time	P_mech	P_ver	P_El	n
0.000000	0.000000	0.000000	0.000000	0.380193
0.000000	0.000000	0.000000	0.000000	0.380193
0.000011	0.000009	0.000015	0.000024	0.380187
0.000063	0.000055	0.000090	0.000146	0.380156
0.000327	0.000286	0.000467	0.000753	0.380002
0.001646	0.001438	0.002354	0.003792	0.379234
0.008243	0.007159	0.011907	0.019066	0.375491
0.041225	0.034801	0.062120	0.096921	0.359066
0.206133	0.151623	0.315941	0.467564	0.324283
0.848201	0.390470	0.538349	0.928819	0.420394
1.653164	0.482975	0.496676	0.979651	0.493007
2.616640	0.511951	0.465605	0.977556	0.523705
3.755126	0.520319	0.450844	0.971163	0.535769
5.113658	0.522738	0.445210	0.967948	0.540048
6.769344	0.523410	0.443438	0.966848	0.541357
8.852141	0.523566	0.443009	0.966575	0.541671
11.584527	0.523591	0.442939	0.966530	0.541723
15.314342	0.523590	0.442942	0.966532	0.541720
20.054507	0.523550	0.443052	0.966602	0.541640
23.251307	0.523576	0.442981	0.966557	0.541692
26.448107	0.523588	0.442947	0.966535	0.541716
30.369151	0.523581	0.442965	0.966547	0.541703
34.767693	0.523542	0.443076	0.966617	0.541623
38.692873	0.523507	0.443171	0.966678	0.541553
41.852253	0.523558	0.443030	0.966588	0.541656
44.833821	0.523585	0.442955	0.966540	0.541711
48.369172	0.523587	0.442949	0.966536	0.541715
52.652591	0.523567	0.443006	0.966572	0.541674
56.937217	0.523510	0.443164	0.966673	0.541558
60.430144	0.523529	0.443110	0.966639	0.541597
63.381168	0.523577	0.442979	0.966555	0.541693
66.562265	0.523589	0.442945	0.966534	0.541718
70.513586	0.523582	0.442965	0.966546	0.541704
74.959920	0.523538	0.443085	0.966623	0.541616
78.083808	0.523573	0.442987	0.966561	0.541687
81.207695	0.523588	0.442947	0.966535	0.541717
85.066408	0.523583	0.442960	0.966543	0.541707
89.497903	0.523546	0.443064	0.966610	0.541631
92.692111	0.523574	0.442986	0.966560	0.541688
95.886318	0.523587	0.442950	0.966537	0.541715
99.743072	0.523582	0.442964	0.966546	0.541704
104.085376	0.523547	0.443060	0.966607	0.541634
108.039166	0.523512	0.443156	0.966668	0.541564
111.262065	0.523556	0.443035	0.966591	0.541652
114.270574	0.523584	0.442958	0.966542	0.541708
117.768991	0.523587	0.442950	0.966537	0.541715
121.985214	0.523569	0.442999	0.966568	0.541678
126.260771	0.523517	0.443143	0.966660	0.541573
129.807876	0.523529	0.443111	0.966640	0.541597
132.803870	0.523575	0.442983	0.966558	0.541690
135.975755	0.523588	0.442947	0.966535	0.541716
139.871973	0.523582	0.442963	0.966545	0.541705
144.278800	0.523543	0.443071	0.966614	0.541626
148.236822	0.523505	0.443176	0.966681	0.541549
149.691849	0.523574	0.442987	0.966560	0.541688
150.000000	0.521233	0.448829	0.970062	0.537320
150.000000	-0.208163	0.109836	-0.098327	0.472356
150.505263	-0.068171	0.044126	-0.024044	0.352707
151.222142	-0.000000	0.000000	-0.000000	0.330149
151.222142	0.000000	0.000000	0.000000	0.330149
152.166939	0.021190	0.040177	0.061367	0.345297
153.312946	0.025442	0.047395	0.072838	0.349303
154.656312	0.026078	0.048284	0.074362	0.350692
156.290214	0.026165	0.048349	0.074514	0.351145
158.337805	0.026178	0.048348	0.074526	0.351257
159.617679	0.026179	0.048347	0.074526	0.351274
159.828433	0.026179	0.048347	0.074527	0.351276
159.907055	0.026179	0.048347	0.074527	0.351276
159.985677	0.026179	0.048347	0.074527	0.351277
160.273246	7.465958	3.961595	11.427553	0.653330
160.560815	11.176839	1.657265	12.834104	0.870870
161.356741	14.013698	2.268077	16.281775	0.860698
162.260840	13.695132	2.097505	15.792637	0.867185
163.340940	13.080219	1.903298	14.983518	0.872974
164.621403	12.739108	1.857248	14.596356	0.872759
166.170246	12.610316	1.833100	14.443416	0.873084
168.096361	12.574762	1.824512	14.399274	0.873291
170.586853	12.567952	1.822754	14.390705	0.873338
173.953564	12.567371	1.822602	14.389973	0.873342
178.451812	12.570163	1.823329	14.393491	0.873323
182.011236	12.569699	1.823208	14.392907	0.873326
185.570660	12.569292	1.823103	14.392394	0.873329
189.411211	12.570451	1.823403	14.393855	0.873321
193.302286	12.572553	1.823946	14.396499	0.873306
196.933207	12.572488	1.823929	14.396418	0.873307
200.314656	12.570342	1.823375	14.393717	0.873321
203.743509	12.569165	1.823070	14.392235	0.873330
207.473627	12.569630	1.823191	14.392821	0.873326
211.419365	12.571759	1.823742	14.395501	0.873312
215.207802	12.573287	1.824135	14.397421	0.873301
218.658287	12.571420	1.823654	14.395073	0.873314
221.992937	12.569397	1.823130	14.392527	0.873328
225.564197	12.569081	1.823048	14.392128	0.873330
229.476233	12.570617	1.823446	14.394063	0.873320
230.000000	13.306533	1.959255	15.265787	0.871657
230.000000	-19.775744	2.405149	-17.370595	0.878379
230.801196	-4.597111	0.863027	-3.734084	0.812268
231.689284	-0.898062	0.322831	-0.575231	0.640525
232.710797	-0.120004	0.072525	-0.047480	0.395648
233.671373	-0.000000	0.000000	-0.000000	0.330149
233.671373	0.000000	0.000000	0.000000	0.330149
234.861561	0.022895	0.043154	0.066048	0.346637
236.083703	0.025733	0.047832	0.073566	0.349801
238.174738	0.026147	0.048342	0.074488	0.351018
239.530470	0.026172	0.048349	0.074521	0.351204
240.886203	11.927398	1.331764	13.259162	0.899559
242.021942	13.981891	2.133249	16.115140	0.867625
242.984017	13.378495	1.985317	15.363812	0.870780
244.179523	12.876406	1.875576	14.751982	0.872859
245.582516	12.657292	1.843046	14.500338	0.872896
247.303232	12.586354	1.827420	14.413774	0.873217
249.479017	12.569852	1.823248	14.393100	0.873325
252.356881	12.567369	1.822601	14.389970	0.873342
256.291942	12.567994	1.822765	14.390758	0.873338
261.094505	12.575704	1.824753	14.400457	0.873285
264.129291	12.569771	1.823227	14.392998	0.873325
267.164076	12.567608	1.822664	14.390272	0.873341
271.086727	12.568343	1.822856	14.391199	0.873335
275.689861	12.575024	1.824579	14.399603	0.873290
278.788373	12.569864	1.823251	14.393115	0.873325
281.886884	12.567780	1.822709	14.390489	0.873339
285.776031	12.568500	1.822896	14.391396	0.873334
290.267939	12.574362	1.824410	14.398772	0.873294
293.422232	12.569907	1.823262	14.393169	0.873324
296.576525	12.567935	1.822749	14.390684	0.873338
300.445490	12.568658	1.822938	14.391596	0.873333
304.848837	12.573934	1.824301	14.398235	0.873297
308.834148	12.579673	1.825757	14.405431	0.873259
312.029451	12.572676	1.823978	14.396654	0.873305
314.990842	12.568418	1.822875	14.391293	0.873335
318.470063	12.567940	1.822750	14.390690	0.873338
319.917987	12.566796	1.822451	14.389247	0.873346
320.000000	12.480265	1.796997	14.277262	0.874136
320.000000	-23.402087	2.594896	-20.807191	0.889117
320.258655	-14.618385	1.915084	-12.703301	0.868995
321.166092	-2.795382	0.579593	-2.215789	0.792661
322.076370	-0.516386	0.218483	-0.297903	0.576900
323.149670	-0.052345	0.034391	-0.017954	0.342991
323.760245	-0.000000	0.000000	-0.000000	0.330149
323.760245	0.000000	0.000000	0.000000	0.330149
325.013486	0.023224	0.043720	0.066944	0.346916
326.266727	0.025793	0.047917	0.073710	0.349920
328.380343	0.026150	0.048343	0.074494	0.351040
329.780642	0.026173	0.048349	0.074522	0.351214
330.309695	3.294684	1.569608	4.864292	0.677320
330.838749	4.621866	1.066612	5.688478	0.812496
331.799532	2.948648	0.789593	3.738241	0.788779
332.827512	1.333241	0.777834	2.111075	0.631546
334.046336	0.466401	0.725294	1.191696	0.391376
335.497869	0.128319	0.693152	0.821470	0.156206
337.282897	0.026748	0.399360	0.426109	0.062773
339.557165	0.004647	0.104587	0.109234	0.042543
342.588165	0.001681	0.040529	0.042210	0.039830
346.724058	0.003738	0.085882	0.089620	0.041712
351.536168	0.021777	0.352264	0.374040	0.058220
354.438259	0.006471	0.139895	0.146366	0.044212
357.340351	0.001922	0.046063	0.047985	0.040050
361.236342	0.002936	0.068705	0.071641	0.040978
365.972140	0.015445	0.279178	0.294624	0.052424
369.051835	0.006045	0.131893	0.137937	0.043821
372.131530	0.002365	0.056091	0.058456	0.040456
376.046007	0.003721	0.085516	0.089237	0.041696
380.585493	0.014941	0.272590	0.287531	0.051962
383.707980	0.006271	0.136151	0.142422	0.044028
386.830467	0.002631	0.062016	0.064647	0.040699
390.708081	0.003902	0.089316	0.093218	0.041862
395.159192	0.013825	0.257566	0.271391	0.050940
398.333860	0.006326	0.137192	0.143518	0.044079
400.422908	16.113092	2.365410	18.478502	0.871991
401.871444	15.831206	2.156827	17.988033	0.880097
403.319980	15.742309	2.117029	17.859338	0.881461
404.395751	15.720980	2.109844	17.830824	0.881674
405.471522	3.673081	0.930509	4.603589	0.797873
406.728609	5.105506	1.185440	6.290945	0.811564
408.007921	5.491105	1.283558	6.774663	0.810536
409.612475	5.616673	1.317800	6.934474	0.809964
411.596299	5.647861	1.325656	6.973518	0.809901
414.183435	5.653447	1.327020	6.980467	0.809895
417.694570	5.653718	1.327086	6.980805	0.809895
422.307765	5.649750	1.326119	6.975869	0.809899
425.710957	5.651422	1.326527	6.977949	0.809897
429.114149	5.652547	1.326802	6.979349	0.809896
432.998127	5.651391	1.326520	6.977910	0.809897
437.108463	5.647429	1.325550	6.972979	0.809902
440.861016	5.645861	1.325164	6.971025	0.809904
444.137020	5.649984	1.326176	6.976161	0.809899
447.362135	5.652437	1.326775	6.979212	0.809896
451.015951	5.652369	1.326758	6.979127	0.809896
455.131773	5.649478	1.326053	6.975531	0.809899
459.139752	5.645030	1.324959	6.969990	0.809905
462.593331	5.647653	1.325605	6.973258	0.809902
465.735166	5.651744	1.326606	6.978350	0.809897
469.128653	5.652799	1.326863	6.979662	0.809896
473.091539	5.651352	1.326510	6.977863	0.809897
474.611603	5.653972	1.327148	6.981120	0.809895
475.000000	6.411225	1.404834	7.816058	0.820263
475.000000	-12.011125	1.725639	-10.285486	0.856330
475.510758	-4.735692	0.914107	-3.821585	0.806975
476.463903	-0.820200	0.305040	-0.515159	0.628090
477.479556	-0.109172	0.067077	-0.042095	0.385586
478.396551	-0.000000	0.000000	-0.000000	0.330149
478.396551	0.000000	0.000000	0.000000	0.330149
479.599450	0.022964	0.043273	0.066237	0.346695
480.821592	5.044180	1.609005	6.653185	0.758160
481.923329	5.371144	1.276849	6.647993	0.807935
482.942756	4.696846	1.083179	5.780025	0.812600
