Time	P_mech	P_ver	P_El	n	Drehmoment	Drehzahl	Konvektion	Strahlung	T_Spindel
0.000000	0.000000	0.000000	0.000000	0.360000	0.033378	0.000000	0.000000	0.000000	296.000000
0.000000	0.000000	0.000000	0.000000	0.360000	0.033378	0.000000	0.000000	0.000000	296.000000
0.004188	0.001682	0.002990	0.004672	0.360000	0.033357	0.000481	0.000000	0.000000	296.000001
0.025125	0.010000	0.017777	0.027777	0.360000	0.033257	0.002871	0.000000	0.000000	296.000024
0.129813	0.049416	0.087850	0.137266	0.360000	0.032774	0.014398	0.000000	0.000001	296.000631
0.344651	0.120098	0.207839	0.327938	0.366223	0.031870	0.035985	0.000001	0.000009	296.004176
0.604503	0.190263	0.301059	0.491321	0.387247	0.030916	0.058768	0.000004	0.000024	296.011448
0.897715	0.253501	0.374987	0.628488	0.403351	0.029997	0.080699	0.000009	0.000047	296.022276
1.219128	0.307879	0.440558	0.748437	0.411363	0.029153	0.100847	0.000016	0.000077	296.036557
1.566286	0.353344	0.460817	0.814160	0.433998	0.028401	0.118805	0.000025	0.000114	296.053628
1.938100	0.390641	0.462794	0.853435	0.457727	0.027746	0.134447	0.000037	0.000153	296.072331
2.334326	0.420812	0.457910	0.878722	0.478891	0.027186	0.147814	0.000050	0.000195	296.092151
2.755332	0.444948	0.453655	0.898602	0.495155	0.026716	0.159043	0.000064	0.000239	296.112989
3.201989	0.464066	0.450898	0.914964	0.507196	0.026327	0.168328	0.000080	0.000286	296.134925
3.675633	0.479070	0.449040	0.928111	0.516178	0.026010	0.175885	0.000097	0.000335	296.158067
4.178060	0.490732	0.447624	0.938356	0.522970	0.025756	0.181940	0.000116	0.000387	296.182524
4.711562	0.499700	0.446460	0.946160	0.528135	0.025556	0.186715	0.000137	0.000442	296.208415
5.278982	0.506514	0.445501	0.952014	0.532044	0.025401	0.190416	0.000160	0.000500	296.235881
5.883806	0.511620	0.444745	0.956365	0.534963	0.025283	0.193234	0.000185	0.000562	296.265097
6.530286	0.515385	0.444174	0.959559	0.537106	0.025195	0.195336	0.000213	0.000628	296.296272
7.223610	0.518108	0.443757	0.961866	0.538649	0.025131	0.196871	0.000244	0.000699	296.329662
7.970134	0.520036	0.443462	0.963497	0.539738	0.025085	0.197964	0.000277	0.000775	296.365576
8.777700	0.521364	0.443258	0.964623	0.540485	0.025054	0.198721	0.000315	0.000857	296.404395
9.656073	0.522253	0.443122	0.965375	0.540984	0.025032	0.199228	0.000357	0.000947	296.446590
10.617565	0.522825	0.443035	0.965860	0.541306	0.025019	0.199556	0.000404	0.001045	296.492752
11.677922	0.523179	0.442981	0.966160	0.541504	0.025010	0.199759	0.000457	0.001153	296.543635
12.857644	0.523386	0.442949	0.966335	0.541619	0.025005	0.199878	0.000517	0.001274	296.600218
14.183978	0.523500	0.442932	0.966432	0.541683	0.025002	0.199943	0.000587	0.001409	296.663802
15.694050	0.523557	0.442923	0.966480	0.541715	0.025001	0.199976	0.000669	0.001563	296.736157
17.439967	0.523584	0.442919	0.966503	0.541730	0.025000	0.199991	0.000767	0.001742	296.819762
19.497499	0.523594	0.442918	0.966512	0.541736	0.025000	0.199997	0.000885	0.001952	296.918220
21.981642	0.523598	0.442917	0.966515	0.541738	0.025000	0.199999	0.001032	0.002206	297.036995
25.075946	0.523599	0.442917	0.966515	0.541738	0.025000	0.200000	0.001221	0.002522	297.184791
29.088497	0.523599	0.442917	0.966516	0.541739	0.025000	0.200000	0.001477	0.002932	297.376190
34.526742	0.523599	0.442917	0.966516	0.541739	0.025000	0.200000	0.001838	0.003488	297.635128
41.733677	0.523599	0.442917	0.966516	0.541738	0.025000	0.200000	0.002340	0.004225	297.977436
47.222165	0.523599	0.442917	0.966516	0.541738	0.025000	0.200000	0.002737	0.004787	298.237466
52.710654	0.523599	0.442917	0.966516	0.541739	0.025000	0.200000	0.003147	0.005349	298.496921
58.816305	0.523599	0.442917	0.966516	0.541738	0.025000	0.200000	0.003616	0.005974	298.784865
65.149449	0.523599	0.442917	0.966515	0.541738	0.025000	0.200000	0.004116	0.006623	299.082765
70.987213	0.523599	0.442917	0.966515	0.541738	0.025000	0.200000	0.004588	0.007221	299.356660
76.235772	0.523599	0.442917	0.966516	0.541738	0.025000	0.200000	0.005020	0.007759	299.602329
81.474670	0.523599	0.442917	0.966516	0.541739	0.025000	0.200000	0.005459	0.008296	299.846991
87.303620	0.523599	0.442917	0.966516	0.541739	0.025000	0.200000	0.005955	0.008893	300.118554
93.686682	0.523599	0.442917	0.966516	0.541738	0.025000	0.200000	0.006508	0.009548	300.415133
99.858573	0.523599	0.442917	0.966515	0.541738	0.025000	0.200000	0.007051	0.010181	300.701101
105.307653	0.523599	0.442917	0.966515	0.541738	0.025000	0.200000	0.007537	0.010739	300.952921
110.403022	0.523599	0.442917	0.966516	0.541738	0.025000	0.200000	0.007997	0.011262	301.187833
115.889966	0.523599	0.442917	0.966516	0.541739	0.025000	0.200000	0.008498	0.011824	301.440189
122.121998	0.523599	0.442917	0.966516	0.541738	0.025000	0.200000	0.009073	0.012463	301.726041
128.564640	0.523599	0.442917	0.966515	0.541738	0.025000	0.200000	0.009675	0.013124	302.020685
134.356404	0.523599	0.442917	0.966515	0.541738	0.025000	0.200000	0.010221	0.013718	302.284807
