Time	P_mech	P_ver	P_El	n	T	C	R	TL
0.000000	0.000000	0.000000	0.000000	0.100000	292.000000	0.000000	0.000000	292.000000
0.000000	0.000000	0.000000	0.000000	0.100000	292.000000	0.000000	0.000000	292.000000
0.000001	0.003045	0.027408	0.030454	0.100000	292.000000	0.000000	0.000000	292.000000
0.000008	0.018272	0.164449	0.182721	0.100000	292.000000	0.000000	0.000000	292.000000
0.000042	0.094401	0.849613	0.944015	0.100000	292.000000	0.000000	0.000000	292.000000
0.000211	0.474942	4.274478	4.749420	0.100000	292.000000	0.000000	0.000000	292.000000
0.001058	2.374991	21.374915	23.749906	0.100000	292.000003	0.000000	0.000005	292.000000
0.005289	11.809216	106.282947	118.092163	0.100000	292.000077	0.000009	0.000130	292.000000
0.026447	57.371300	516.341700	573.713000	0.100000	292.001878	0.000362	0.003181	292.000000
0.132238	249.648799	991.096356	1240.745155	0.201209	292.043427	0.016373	0.073581	292.000000
0.490212	614.036237	152.837819	766.874056	0.800700	292.066010	0.027461	0.111853	292.000003
0.957660	788.989448	131.856688	920.846137	0.856809	292.083576	0.036784	0.141629	292.000005
1.514008	857.388511	133.150451	990.538962	0.865578	292.103695	0.048078	0.175740	292.000007
2.172047	882.900185	132.808844	1015.709029	0.869245	292.127779	0.062337	0.216583	292.000010
2.874408	891.344236	133.323163	1024.667399	0.869886	292.152792	0.077888	0.259012	292.000012
2.874408	891.344236	133.323163	1024.667399	0.869886	292.152792	0.077886	0.259007	292.000015
3.659548	719.036378	107.490822	826.527200	0.869949	292.177802	0.094103	0.301445	292.000015
4.854159	659.934239	92.963861	752.898099	0.876525	292.208492	0.114812	0.353531	292.000019
6.320769	649.594898	90.435778	740.030675	0.877795	292.244458	0.140101	0.414594	292.000023
8.339695	649.067280	90.311560	739.378840	0.877855	292.293445	0.176117	0.497799	292.000028
11.008435	656.010361	91.982100	747.992461	0.877028	292.357899	0.225935	0.607337	292.000035
12.978220	653.184886	91.292597	744.477483	0.877374	292.404304	0.263322	0.686238	292.000045
