Time	P_mech	P_ver	P_El	n	T	C	R	TL
0.000000	0.000000	0.000000	0.000000	0.100000	295.000000	0.000000	0.000000	295.000000
0.000000	0.000000	0.000000	0.000000	0.100000	295.000000	0.000000	0.000000	295.000000
0.000004	0.002288	0.020590	0.022878	0.100000	295.000000	0.000000	0.000000	295.000000
0.000024	0.013727	0.123539	0.137266	0.100000	295.000000	0.000000	0.000000	295.000000
0.000126	0.070913	0.638217	0.709130	0.100000	295.000000	0.000000	0.000000	295.000000
0.000634	0.356663	3.209963	3.566626	0.100000	295.000000	0.000000	0.000000	295.000000
0.003173	1.780859	16.027732	17.808591	0.100000	295.000007	0.000001	0.000012	295.000000
0.015868	8.789449	79.105041	87.894490	0.100000	295.000171	0.000022	0.000300	295.000000
0.079342	41.188167	370.693502	411.881669	0.100000	295.004106	0.000923	0.007172	295.000000
0.396714	153.374895	1380.374057	1533.748953	0.100000	295.084141	0.037005	0.147037	295.000000
0.845293	231.098749	273.096541	504.195290	0.458352	295.156768	0.080224	0.274041	295.000007
1.380570	270.460157	150.537475	420.997632	0.642427	295.186836	0.099856	0.326637	295.000016
1.392807	271.008946	149.374133	420.383079	0.644671	295.187312	0.100171	0.327464	295.000020
1.392807	271.008946	149.374133	420.383079	0.644671	295.187312	0.100171	0.327464	295.000020
2.026419	117.476634	36.880285	154.356919	0.761071	295.199653	0.108483	0.349063	295.000020
2.782875	47.700131	179.415890	227.116021	0.210025	295.363830	0.230055	0.636659	295.000022
3.699369	23.480563	170.378650	193.859212	0.121122	295.502889	0.345576	0.880589	295.000046
4.844242	17.134788	141.686097	158.820885	0.107887	295.550940	0.387643	0.964933	295.000069
6.332442	15.985564	137.963177	153.948740	0.103837	295.607232	0.438199	1.063827	295.000077
8.353083	15.925773	137.765714	153.691487	0.103622	295.682463	0.507739	1.196082	295.000087
11.012526	16.708980	140.315745	157.024726	0.106410	295.780026	0.601023	1.367747	295.000101
11.974263	15.925353	137.764326	153.689679	0.103620	295.815761	0.635996	1.430642	295.000119
12.935999	15.747916	137.174411	152.922328	0.102980	295.851115	0.671018	1.492909	295.000126
13.000000	83.568000	32.854962	116.422961	0.717797	295.796238	0.616813	1.396236	295.000133
13.000000	-317.616272	88.703234	-228.913038	0.720722	295.796238	0.616824	1.396255	295.000123
