Time	P_ELKuehlung	P_Kuehelleistung	P_Konvektion	P_Strahlung	T_Schrank
0.000000	0.000000	0.000000	2.315135	0.296000	62459.134734
84.000000	0.000996	0.026333	2.315135	0.297254	62459.134734
168.000000	0.002451	0.052677	2.315135	0.298493	62459.134734
252.000000	0.004141	0.079019	2.315135	0.299717	62459.134734
336.000000	0.005995	0.105347	2.315135	0.300925	62459.134734
420.000000	0.007973	0.131651	2.315135	0.302118	62459.134734
504.000000	0.010049	0.157920	2.315135	0.303296	62459.134734
588.000000	0.012206	0.184143	2.315135	0.304457	62459.134734
672.000000	0.014429	0.210310	2.315135	0.305603	62459.134734
756.000000	0.016706	0.236412	2.315135	0.306734	62459.134734
840.000000	0.019028	0.262438	2.315135	0.307849	62459.134734
924.000000	0.021386	0.288380	2.315135	0.308949	62459.134734
1008.000000	0.023775	0.314228	2.315135	0.310033	62459.134734
1092.000000	0.026189	0.339975	2.315135	0.311101	62459.134734
1176.000000	0.028621	0.365610	2.315135	0.312154	62459.134734
1244.386023	0.030613	0.386393	2.315135	0.313000	62459.134734
1244.386023	0.030613	0.386393	2.555135	0.313000	64859.134734
1328.386023	0.026194	0.340030	2.555135	0.311103	64859.134734
1412.386023	0.022271	0.297995	2.555135	0.309353	64859.134734
1482.280382	0.019347	0.265983	2.555135	0.308000	64859.134734
1482.280382	0.019347	0.265983	2.315135	0.308000	62459.134734
1566.280382	0.021711	0.291912	2.315135	0.309097	62459.134734
1650.280382	0.024103	0.317747	2.315135	0.310179	62459.134734
1734.280382	0.026520	0.343479	2.315135	0.311246	62459.134734
1818.280382	0.028955	0.369099	2.315135	0.312297	62459.134734
1875.205638	0.030613	0.386393	2.315135	0.313000	62459.134734
1875.205638	0.030613	0.386393	2.555135	0.313000	64859.134734
1959.205638	0.026194	0.340030	2.555135	0.311103	64859.134734
2043.205638	0.022271	0.297995	2.555135	0.309353	64859.134734
2113.099997	0.019347	0.265983	2.555135	0.308000	64859.134734
2113.099997	0.019347	0.265983	2.315135	0.308000	62459.134734
2197.099997	0.021711	0.291912	2.315135	0.309097	62459.134734
2281.099997	0.024103	0.317747	2.315135	0.310179	62459.134734
2365.099997	0.026520	0.343479	2.315135	0.311246	62459.134734
2449.099997	0.028955	0.369099	2.315135	0.312297	62459.134734
2506.025253	0.030613	0.386393	2.315135	0.313000	62459.134734
2506.025253	0.030613	0.386393	2.555135	0.313000	64859.134734
2590.025253	0.026194	0.340030	2.555135	0.311103	64859.134734
2674.025253	0.022271	0.297995	2.555135	0.309353	64859.134734
2743.919611	0.019347	0.265983	2.555135	0.308000	64859.134734
2743.919611	0.019347	0.265983	2.315135	0.308000	62459.134734
2827.919611	0.021711	0.291912	2.315135	0.309097	62459.134734
2911.919611	0.024103	0.317747	2.315135	0.310179	62459.134734
2995.919611	0.026520	0.343479	2.315135	0.311246	62459.134734
3079.919611	0.028955	0.369099	2.315135	0.312297	62459.134734
3136.844868	0.030613	0.386393	2.315135	0.313000	62459.134734
3136.844868	0.030613	0.386393	2.555135	0.313000	64859.134734
3220.844868	0.026194	0.340030	2.555135	0.311103	64859.134734
3304.844868	0.022271	0.297995	2.555135	0.309353	64859.134734
3374.739226	0.019347	0.265983	2.555135	0.308000	64859.134734
3374.739226	0.019347	0.265983	2.315135	0.308000	62459.134734
3458.739226	0.021711	0.291912	2.315135	0.309097	62459.134734
3542.739226	0.024103	0.317747	2.315135	0.310179	62459.134734
3626.739226	0.026520	0.343479	2.315135	0.311246	62459.134734
3710.739226	0.028955	0.369099	2.315135	0.312297	62459.134734
3767.664483	0.030613	0.386393	2.315135	0.313000	62459.134734
3767.664483	0.030613	0.386393	2.555135	0.313000	64859.134734
3851.664483	0.026194	0.340030	2.555135	0.311103	64859.134734
3935.664483	0.022271	0.297995	2.555135	0.309353	64859.134734
4005.558841	0.019347	0.265983	2.555135	0.308000	64859.134734
4005.558841	0.019347	0.265983	2.315135	0.308000	62459.134734
4089.558841	0.021711	0.291912	2.315135	0.309097	62459.134734
4173.558841	0.024103	0.317747	2.315135	0.310179	62459.134734
4200.000000	0.024862	0.325859	2.315135	0.310517	62459.134734
