Time	State	CNCPowerSupply-BC-1	CNCSpindle-BC-1	Spindel-BC-1	Spindel-BC-2	Spindel-BC-3	Spindel-BC-4	Spindel-BC-5	Spindel-BC-6	Spindel-BC-7	Spindel-BC-8	Spindel-BC-9	Spindel-BC-10	Spindel-BC-11	Spindel-BC-12	Spindel-BC-13	CNCXAchse-BC-1	CNCYAchse-BC-1	CNCZAchse-BC-1	CNCRotAchsen-BC-1	TankKühlmittel-BC-1	TankKühlmittel-BC-2	PumpeSindelkühlmittel1-BC-1	PumpeSindelkühlmittel1-BC-2	PumpeSindelkühlmittel1-BC-3	PumpeSindelkühlmittel1-BC-4	PumpeTrommelfilter-BC-1	PumpeTrommelfilter-BC-2	PumpeTrommelfilter-BC-3	PumpeTrommelfilter-BC-4	TankKühlöl-BC-1	TankKühlöl-BC-2	PumpeÖltemperaturregler-BC-1	PumpeÖltemperaturregler-BC-2	PumpeÖltemperaturregler-BC-3	PumpeÖltemperaturregler-BC-4	Y1Achse-BC-1	Y1Achse-BC-2	Y1Achse-BC-3	Y1Achse-BC-4	Y1Achse-BC-5	Y1Achse-BC-6	Y2Achse-BC-1	Y2Achse-BC-2	Y2Achse-BC-3	Y2Achse-BC-4	Y2Achse-BC-5	Y2Achse-BC-6	XAchse-BC-1	XAchse-BC-2	XAchse-BC-3	XAchse-BC-4	XAchse-BC-5	XAchse-BC-6	Z2Achse-BC-1	Z2Achse-BC-2	Z2Achse-BC-3	Z2Achse-BC-4	Z2Achse-BC-5	Z2Achse-BC-6	Z1Achse-BC-1	Z1Achse-BC-2	Z1Achse-BC-3	Z1Achse-BC-4	Z1Achse-BC-5	Z1Achse-BC-6	CAchse-BC-1	CAchse-BC-2	CAchse-BC-3	CAchse-BC-4	CAchse-BC-5	BAchse-BC-1	BAchse-BC-2	BAchse-BC-3	BAchse-BC-4	BAchse-BC-5	PumpeKühlölRotachsen-BC-1	PumpeKühlölRotachsen-BC-2	PumpeKühlölRotachsen-BC-3	PumpeKühlölRotachsen-BC-4	TankKühlÖlRotachsen-BC-1	TankKühlÖlRotachsen-BC-2
   		CNCPowerSupply.HeatSource	CNCSpindle.HeatSource	Spindel.MotorHeatSrcStator	Spindel.MotorHeatSrcRotor	Spindel.Bearing1HeatSrcOuter	Spindel.Bearing1HeatSrcInner	Spindel.Bearing1HTC	Spindel.Bearing2HeatSrcOuter	Spindel.Bearing2HeatSrcInner	Spindel.Bearing2HTC	Spindel.HeatSrcAirgap	Spindel.HeatSrcCair	Spindel.CoolantHTC	Spindel.CoolantTemperature	Spindel.CoolantHeatFlux	CNCXAchse.HeatSource	CNCYAchse.HeatSource	CNCZAchse.HeatSource	CNCRotAchsen.HeatSource	TankKühlmittel.Temperature	TankKühlmittel.HeatFluxToAmbient	PumpeSindelkühlmittel1.HeatSrcMotor	PumpeSindelkühlmittel1.MotorHTC	PumpeSindelkühlmittel1.HeatSrcPump	PumpeSindelkühlmittel1.PumpHTC	PumpeTrommelfilter.HeatSrcMotor	PumpeTrommelfilter.MotorHTC	PumpeTrommelfilter.HeatSrcPump	PumpeTrommelfilter.PumpHTC	TankKühlöl.Temperature	TankKühlöl.HeatFluxToAmbient	PumpeÖltemperaturregler.HeatSrcMotor	PumpeÖltemperaturregler.MotorHTC	PumpeÖltemperaturregler.HeatSrcPump	PumpeÖltemperaturregler.PumpHTC	Y1Achse.MotorHeatSrcStator	Y1Achse.MotorHeatSrcRotor	Y1Achse.TransmissionHeatSrc	Y1Achse.BrakeHeatSrc	Y1Achse.CoolantTemperature	Y1Achse.CoolantHTC	Y2Achse.MotorHeatSrcStator	Y2Achse.MotorHeatSrcRotor	Y2Achse.TransmissionHeatSrc	Y2Achse.BrakeHeatSrc	Y2Achse.CoolantTemperature	Y2Achse.CoolantHTC	XAchse.MotorHeatSrcStator	XAchse.MotorHeatSrcRotor	XAchse.TransmissionHeatSrc	XAchse.BrakeHeatSrc	XAchse.CoolantTemperature	XAchse.CoolantHTC	Z2Achse.MotorHeatSrcStator	Z2Achse.MotorHeatSrcRotor	Z2Achse.TransmissionHeatSrc	Z2Achse.BrakeHeatSrc	Z2Achse.CoolantTemperature	Z2Achse.CoolantHTC	Z1Achse.MotorHeatSrcStator	Z1Achse.MotorHeatSrcRotor	Z1Achse.TransmissionHeatSrc	Z1Achse.BrakeHeatSrc	Z1Achse.CoolantTemperature	Z1Achse.CoolantHTC	CAchse.MotorHeatSrcStator	CAchse.MotorHeatSrcRotor	CAchse.BrakeHeatSrc	CAchse.CoolantTemperature	CAchse.CoolantHTC	BAchse.MotorHeatSrcStator	BAchse.MotorHeatSrcRotor	BAchse.BrakeHeatSrc	BAchse.CoolantTemperature	BAchse.CoolantHTC	PumpeKühlölRotachsen.HeatSrcMotor	PumpeKühlölRotachsen.MotorHTC	PumpeKühlölRotachsen.HeatSrcPump	PumpeKühlölRotachsen.PumpHTC	TankKühlÖlRotachsen.Temperature	TankKühlÖlRotachsen.HeatFluxToAmbient
[s]		[W]	[W]	[W]	[W]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[K]	[W]	[W]	[W]	[W]	[W]	[K]	[W]	[W]	[W/K]	[W]	[W/K]	[W]	[W/K]	[W]	[W/K]	[K]	[W]	[W]	[W/K]	[W]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W/K]	[W]	[W/K]	[K]	[W]
-	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	DIRICHLET	NEUMANN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	DIRICHLET	NEUMANN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	DIRICHLET	NEUMANN
1.00	OFF	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	39.32391951807554	293.15000000000015	6.705918085244015E-12	0.0	0.0	0.0	0.0	293.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293.15	0.0	10.000000000000009	127.32395447351627	390.0	0.0	0.0	0.0	0.0	0.0	293.1499999999999	1.4198538275955628E-5	0.0	0.0	0.0	0.0	293.1499999999999	1.237636745572744E-5	0.0	0.0	0.0	0.0	293.1499999999998	1.1948874076852662E-5	0.0	0.0	0.0	0.0	293.15000000000003	7.024955928967406E-6	0.0	0.0	0.0	0.0	293.15000000000003	1.9658296145838555E-6	0.0	0.0	0.0	293.1499999999999	13.010513309829141	0.0	0.0	0.0	293.15000000000026	32.44020421372341	10.000000000000009	127.32395447351627	390.0	0.0	293.15	0.0
2.00	OFF	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	868.4746794269424	293.15341616643934	2.9668540532966348	0.0	0.0	0.0	0.0	293.15	0.0	0.0	0.06922504206034173	0.0	2.308968846171023	0.0	0.06922504206034173	0.0	2.308968846171023	293.15	0.0	10.000000000000009	127.32395447351627	257.345896483706	0.3808143293622429	0.0	0.0	0.0	0.0	293.15000000000026	22.771899920496125	0.0	0.0	0.0	0.0	293.15	22.771899920495837	0.0	0.0	0.0	0.0	293.15	22.771899920495205	0.0	0.0	0.0	0.0	293.1500000000001	15.787997180065673	0.0	0.0	0.0	0.0	293.15000000000015	15.787997180066572	0.0	0.0	0.0	293.1628979139973	502.5550334149122	0.0	0.0	0.0	293.1569198617246	676.1297530923796	10.000000000000009	127.32395447351627	27.361549130309577	0.3808143293622429	293.150148183023	0.0
3.00	OFF	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	868.4746563974439	293.16400369256644	12.161852089953285	0.0	0.0	0.0	0.0	293.1499999999999	-0.0	0.0	0.06922504206034173	0.0	2.308968846171023	0.0	0.06922504206034173	0.0	2.308968846171023	293.15	0.0	10.000000000000009	127.32395447351627	257.3458641918311	0.43613011663832335	0.0	0.0	0.0	0.0	293.1503562018097	22.77190330454126	0.0	0.0	0.0	0.0	293.15035620180964	22.771903304542473	0.0	0.0	0.0	0.0	293.1503562018094	22.771903304541507	0.0	0.0	0.0	0.0	293.1520444634538	15.787999526260872	0.0	0.0	0.0	0.0	293.15204446345257	15.787999526261421	0.0	0.0	0.0	293.17889437948116	343.5517838682178	0.0	0.0	0.0	293.16974640436734	429.73283573977164	10.000000000000009	127.32395447351627	234.3313367794549	0.4157490190305414	293.1505700703493	5.4029757401539355E-5
4.00	OFF	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	868.474735866885	293.17834648754433	24.528741695285458	0.0	0.0	0.0	0.0	293.14999999999986	-8.177864296985202E-15	0.0	0.06922504206034173	0.0	0.0	0.0	0.06922504206034173	0.0	0.0	293.1500040129683	0.0	10.000000000000009	127.32395447351627	257.34597546025225	0.46075935844219584	0.0	0.0	0.0	0.0	293.152151586867	22.771904192902767	0.0	0.0	0.0	0.0	293.15215158686686	22.771904192902646	0.0	0.0	0.0	0.0	293.15215158686675	22.771904192902355	0.0	0.0	0.0	0.0	293.1601403418459	15.788000142170763	0.0	0.0	0.0	0.0	293.1601403418452	15.78800014217154	0.0	0.0	0.0	293.1835452865346	258.1396665992209	0.0	0.0	0.0	293.17720940794595	390.8369373701959	219.95645881447592	127.32395447351627	88.77914504178432	0.42461451783475773	293.15113034371177	1.3848258547468804E-4
5.00	OFF	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	868.4746807138662	293.1917591422826	35.72377730149377	0.0	0.0	0.0	0.0	293.1499999999998	-1.2420757164540906E-14	0.0	0.06922504206034173	0.0	2.308968846171023	0.0	0.06922504206034173	0.0	2.308968846171023	293.15002952823613	1.576104205747147E-6	10.000000000000009	127.32395447351627	257.34589656400317	0.4791836271533928	0.0	0.0	0.0	0.0	293.1564323777192	22.771898493084848	0.0	0.0	0.0	0.0	293.1564323777191	22.77189849308473	0.0	0.0	0.0	0.0	293.156432377719	22.77189849308394	0.0	0.0	0.0	0.0	293.1735717777536	15.787996190426663	0.0	0.0	0.0	0.0	293.1735717777532	15.787996190427902	0.0	0.0	0.0	293.1903747063253	258.1396538785949	0.0	0.0	0.0	293.1810596262168	390.8369933423411	219.95642443010883	127.32395447351627	88.77917962965836	0.4375929305212473	293.1517475377634	2.4594448653994923E-4
6.00	OFF	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	868.4746904529549	293.2034169216846	44.75821937550727	0.0	0.0	0.0	0.0	293.14999999999986	-8.346765942876048E-15	0.0	0.06922504206034173	0.0	2.324621538404638	0.0	0.06922504206034173	0.0	2.324621538404638	293.15010694267846	7.679364368403873E-6	10.000000000000009	127.32395447351627	257.34591215122816	0.4938309445742131	0.0	0.0	0.0	0.0	293.16328970854545	22.77190488969999	0.0	0.0	0.0	0.0	293.1632897085452	22.771904889701204	0.0	0.0	0.0	0.0	293.16328970854505	22.77190488970174	0.0	0.0	0.0	0.0	293.18717702829025	15.788000625270005	0.0	0.0	0.0	0.0	293.1871770282899	15.788000625268705	0.0	0.0	0.0	293.19409915210787	258.13954355474806	0.0	0.0	0.0	293.1848125815511	390.8369169311115	219.9565129676712	127.32395447351627	88.77909056807846	0.4399767673231575	293.15243942062216	3.7604236596536765E-4
7.00	OFF	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	868.4747377421863	293.2140844381189	52.252299794337056	0.0	0.0	0.0	0.0	293.14999999999986	-8.280504776360604E-15	0.0	0.06922504206034173	0.0	2.342278763452504	0.0	0.06922504206034173	0.0	2.308968846171023	293.1502640066596	2.359337241834207E-5	10.000000000000009	127.32395447351627	257.34597774916506	0.5059014837096898	0.0	0.0	0.0	0.0	293.1721018979385	22.771903024243333	0.0	0.0	0.0	0.0	293.1721018979384	22.771903024244384	0.0	0.0	0.0	0.0	293.1721018979382	22.77190302424442	0.0	0.0	0.0	0.0	293.1988634346701	15.78799933192719	0.0	0.0	0.0	0.0	293.19886343467	15.787999331927162	0.0	0.0	0.0	293.19417938026845	258.13961462646574	0.0	0.0	0.0	293.1867884150914	390.83696731687695	219.9564541068482	127.32395447351627	88.77914977727451	0.44210406163998917	293.15316710037314	5.242029377252167E-4
