Time	Spindle-BC-1	Spindle-BC-2	Spindle-BC-3	Spindle-BC-4	Spindle-BC-5	Spindle-BC-6	Spindle-BC-7	Spindle-BC-8	Spindle-BC-9	Spindle-BC-10	Spindle-BC-11	Spindle-BC-12	Spindle-BC-13	Spindle-BC-14	Spindle-BC-15	Spindle-BC-16	Spindle-BC-17	Spindle-BC-18	Tank-BC-1	PumpHydraulics-BC-1	PumpHydraulics-BC-2	PumpHydraulics-BC-3	PumpHydraulics-BC-4	PumpCoolant-BC-1	PumpCoolant-BC-2	PumpCoolant-BC-3	PumpCoolant-BC-4	PumpHE-BC-1	PumpHE-BC-2	PumpHE-BC-3	PumpHE-BC-4	CtrlSpindle-BC-1	AmpAxes-BC-1	CtrlAxesLin-BC-1	CtrlAxesRot-BC-1	AxisX-BC-1	AxisX-BC-2	AxisX-BC-3	AxisX-BC-4	AxisX-BC-5	AxisX-BC-6	AxisY-BC-1	AxisY-BC-2	AxisY-BC-3	AxisY-BC-4	AxisY-BC-5	AxisY-BC-6	AxisZ-BC-1	AxisZ-BC-2	AxisZ-BC-3	AxisZ-BC-4	AxisZ-BC-5	AxisZ-BC-6	AxisA-BC-1	AxisA-BC-2	AxisA-BC-3	AxisA-BC-4	AxisA-BC-5	AxisB-BC-1	AxisB-BC-2	AxisB-BC-3	AxisB-BC-4	AxisB-BC-5	AxisC-BC-1	AxisC-BC-2	AxisC-BC-3	AxisC-BC-4	AxisC-BC-5	TankHydraulic-BC-1
   	Spindle.MotorHeatSrcStator	Spindle.MotorHeatSrcRotor	Spindle.Bearing1HeatSrcOuter	Spindle.Bearing1HeatSrcInner	Spindle.Bearing1HTC	Spindle.Bearing2HeatSrcOuter	Spindle.Bearing2HeatSrcInner	Spindle.Bearing2HTC	Spindle.Bearing3HeatSrcOuter	Spindle.Bearing3HeatSrcInner	Spindle.Bearing3HTC	Spindle.Bearing4HeatSrcOuter	Spindle.Bearing4HeatSrcInner	Spindle.Bearing4HTC	Spindle.HeatSrcAirgap	Spindle.HeatSrcCair	Spindle.CoolantHTC	Spindle.CoolantTemperature	Tank.Temperature	PumpHydraulics.HeatSrcMotor	PumpHydraulics.MotorHTC	PumpHydraulics.HeatSrcPump	PumpHydraulics.PumpHTC	PumpCoolant.HeatSrcMotor	PumpCoolant.MotorHTC	PumpCoolant.HeatSrcPump	PumpCoolant.PumpHTC	PumpHE.HeatSrcMotor	PumpHE.MotorHTC	PumpHE.HeatSrcPump	PumpHE.PumpHTC	CtrlSpindle.HeatSource	AmpAxes.HeatSource	CtrlAxesLin.HeatSource	CtrlAxesRot.HeatSource	AxisX.MotorHeatSrcStator	AxisX.MotorHeatSrcRotor	AxisX.TransmissionHeatSrc	AxisX.BrakeHeatSrc	AxisX.CoolantTemperature	AxisX.CoolantHTC	AxisY.MotorHeatSrcStator	AxisY.MotorHeatSrcRotor	AxisY.TransmissionHeatSrc	AxisY.BrakeHeatSrc	AxisY.CoolantTemperature	AxisY.CoolantHTC	AxisZ.MotorHeatSrcStator	AxisZ.MotorHeatSrcRotor	AxisZ.TransmissionHeatSrc	AxisZ.BrakeHeatSrc	AxisZ.CoolantTemperature	AxisZ.CoolantHTC	AxisA.MotorHeatSrcStator	AxisA.MotorHeatSrcRotor	AxisA.BrakeHeatSrc	AxisA.CoolantTemperature	AxisA.CoolantHTC	AxisB.MotorHeatSrcStator	AxisB.MotorHeatSrcRotor	AxisB.BrakeHeatSrc	AxisB.CoolantTemperature	AxisB.CoolantHTC	AxisC.MotorHeatSrcStator	AxisC.MotorHeatSrcRotor	AxisC.BrakeHeatSrc	AxisC.CoolantTemperature	AxisC.CoolantHTC	TankHydraulic.Temperature
[s]	[W]	[W]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[K]	[K]	[W]	[W/K]	[W]	[W/K]	[W]	[W/K]	[W]	[W/K]	[W]	[W/K]	[W]	[W/K]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[K]	[W/K]	[K]
-	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	ROBIN	DIRICHLET	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	DIRICHLET
1.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999999999986	293.14999999999986	1041.493670886076	736.7060707575226	1740.5063710747781	0.0	151.08002356408826	69.03892829036921	848.9202296861239	0.0	8.047532181455225	67.22611759140578	113.9524668774583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.007254679310699863	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.15000084708134
2.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999997921944	293.1500000019845	1041.493670886076	736.7060707575226	1709.3336228641954	180.97553370800392	151.07997227027025	69.03892829036921	848.9200372594333	9.116397603917767	87.57341285257358	67.22611759140578	245.74017024176314	12.272602175810247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.004418178602774747	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1516387529722
3.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.15000001654596	293.15000038086134	234.10831022005794	736.7060707575226	116.38914156164878	252.11616508986248	151.07997227027025	69.03892829036921	848.920058528665	12.474522597699433	87.555165422114	67.22611759140578	282.28477238173207	16.389797794354617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.003851945924920423	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1559511403525
4.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1500001353121	293.1500031643638	234.10831022042294	736.7060707575226	116.15997828775727	274.47041017339274	151.07997227027025	69.03892829036921	848.9200250408146	14.481711946338127	87.542993496686	67.22611759140578	305.99406641306075	18.405191626168023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.004188766714166662	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1616085534003
5.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1500001966593	293.1500144148285	234.1083102203557	736.7060707575226	115.81671299651501	273.91231123216534	151.07998689900208	69.03892829036921	848.9201252426004	15.993514162986182	87.53560611789732	67.22611759140578	321.37006614824986	19.46766611119575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.004441934791012392	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1675703339623
6.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.15000038615887	293.150043239471	234.10831022020201	736.7060707575226	115.45293635087955	273.31253206313977	151.07997227027025	69.03892829036921	848.9200186522911	17.23308992564015	87.53079274110355	67.22611759140578	331.3283530129966	20.08729961784308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.006145819423840479	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.17352073392743
7.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.15000081880044	293.1500970404644	234.10831022140582	736.7060707575226	115.09615460717461	272.72116637304106	151.07997227027025	69.03892829036921	848.9199356524367	18.296474605789292	87.52771413371168	67.22611759140578	337.7623265498541	20.46497837977555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.008622812110309243	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.17945325547817
