Time	Spindle-Input-1	Spindle-Input-2	Spindle-Input-3	Spindle-Input-4-T	Spindle-Input-4-V	Spindle-Input-4-p	Spindle-Output-1	Spindle-Output-2	Spindle-Output-3	Spindle-Output-4	Spindle-Output-5	Spindle-Output-6-T	Spindle-Output-6-V	Spindle-Output-6-p	Spindle-State-1	Spindle-State-2	ForcedFluidFlow-Input-1	ForcedFluidFlow-Input-2	ForcedFluidFlow-Input-3	ForcedFluidFlow-Input-4-T	ForcedFluidFlow-Input-4-V	ForcedFluidFlow-Input-4-p	ForcedFluidFlow-Output-1	ForcedFluidFlow-Output-2	ForcedFluidFlow-Output-3-T	ForcedFluidFlow-Output-3-V	ForcedFluidFlow-Output-3-p	RotSpeed-Sim	RotSpeed-Sim	Torque-Sim	Torque-Sim	TemperatureIn-Sim	TemperatureIn-Sim	PressureIn-Sim	PressureIn-Sim	FlowRate-Sim	FlowRate-Sim	State-Sim	State-Sim
   	Spindle.State	Spindle.RotSpeed	Spindle.Torque	Spindle.CoolantIn-Temperature	Spindle.CoolantIn-FlowRate	Spindle.CoolantIn-Pressure	Spindle.PTotal	Spindle.PLoss	Spindle.PUse	Spindle.CAirFlow	Spindle.Temperature	Spindle.CoolantOut-Temperature	Spindle.CoolantOut-FlowRate	Spindle.CoolantOut-Pressure	Spindle.State.TemperatureStructure	Spindle.State.TemperatureCoolant	ForcedFluidFlow.TemperatureIn	ForcedFluidFlow.PressureIn	ForcedFluidFlow.FlowRate	ForcedFluidFlow.FluidIn-Temperature	ForcedFluidFlow.FluidIn-FlowRate	ForcedFluidFlow.FluidIn-Pressure	ForcedFluidFlow.TemperatureRaise	ForcedFluidFlow.PressureLoss	ForcedFluidFlow.FluidOut-Temperature	ForcedFluidFlow.FluidOut-FlowRate	ForcedFluidFlow.FluidOut-Pressure	RotSpeed State	RotSpeed Value	Torque State	Torque Value	TemperatureIn State	TemperatureIn Value	PressureIn State	PressureIn Value	FlowRate State	FlowRate Value	State State	State Value
[s]	[none]	[Hz]	[Nm]	[K]	[m³/s]	[Pa]	[W]	[W]	[W]	[none]	[K]	[K]	[m³/s]	[Pa]	[K]	[K]	[K]	[Pa]	[m³/s]	[K]	[m³/s]	[Pa]	[K]	[Pa]	[K]	[m³/s]	[Pa]	       	[Hz]	       	[Nm]	       	[K]	       	[Pa]	       	[m³/s]	       	[none]
0.00	0.0	0.0	0.0	293.0	0.0	0.0	0.0	0.0	0.0	0.0	293.0	293.0	0.0	0.0	293.15	293.15	293.15	0.0	0.0	293.0	0.0	0.0	0.0	0.0	293.0	0.0	0.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
1.00	0.0	0.0	0.0	293.15	9.66666743321285E-5	0.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15	9.66666743321285E-5	0.0	293.1499999999999	293.15	293.15	300000.0	9.666666E-5	293.15	9.666667803439054E-5	0.0	0.0	300000.0	293.15	9.666667803439054E-5	0.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
2.00	0.0	0.0	0.0	293.15	9.666669124828344E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15	9.666669124828344E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.15	9.666668930874005E-5	124282.0	0.0	175718.0	293.15	9.666668930874005E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
3.00	0.0	0.0	0.0	293.15	9.666673386057395E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666673386057395E-5	124282.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1500000000001	9.66667022688382E-5	124282.0	1.1368683772161603E-13	175718.0	293.15	9.66667022688382E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
4.00	0.0	0.0	0.0	293.15	9.666667772208947E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.666667772208947E-5	124281.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.15000000000015	9.666668247740618E-5	124281.0	1.7053025658242404E-13	175719.0	293.15	9.666668247740618E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
5.00	0.0	0.0	0.0	293.15	9.666669096766394E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666669096766394E-5	124282.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000001	9.666668828171932E-5	124282.0	1.1368683772161603E-13	175718.0	293.15	9.666668828171932E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
6.00	0.0	0.0	0.0	293.15	9.666673381446218E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666673381446218E-5	124282.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000003	9.666670226994421E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666670226994421E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
7.00	0.0	0.0	0.0	293.15	9.666667771451241E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666667771451241E-5	124281.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000003	9.666668247758661E-5	124281.0	3.410605131648481E-13	175719.0	293.15	9.666668247758661E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
8.00	0.0	0.0	0.0	293.15	9.666669096641889E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666669096641889E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.1500000000003	9.666668828174804E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666668828174804E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
9.00	0.0	0.0	0.0	293.15	9.666673381425742E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666673381425742E-5	124282.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1500000000001	9.666670226995028E-5	124282.0	1.1368683772161603E-13	175718.0	293.15	9.666670226995028E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
10.00	0.0	0.0	0.0	293.15	9.66666777144786E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.66666777144786E-5	124281.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.15000000000015	9.666668247758898E-5	124281.0	1.7053025658242404E-13	175719.0	293.15	9.666668247758898E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
