Time	State	Spindle-BC-1	Spindle-BC-2	Spindle-BC-3	Spindle-BC-4	Spindle-BC-5	Spindle-BC-6	Spindle-BC-7	Spindle-BC-8	Spindle-BC-9	Spindle-BC-10	Spindle-BC-11	Spindle-BC-12	Spindle-BC-13	Spindle-BC-14	Spindle-BC-15	Spindle-BC-16	Spindle-BC-17	Spindle-BC-18	Spindle-BC-19	Tank-BC-1	Tank-BC-2	PumpHydraulics-BC-1	PumpHydraulics-BC-2	PumpHydraulics-BC-3	PumpHydraulics-BC-4	PumpCoolant-BC-1	PumpCoolant-BC-2	PumpCoolant-BC-3	PumpCoolant-BC-4	PumpHE-BC-1	PumpHE-BC-2	PumpHE-BC-3	PumpHE-BC-4	CtrlSpindle-BC-1	AmpAxes-BC-1	CtrlAxesLin-BC-1	CtrlAxesRot-BC-1	AxisX-BC-1	AxisX-BC-2	AxisX-BC-3	AxisX-BC-4	AxisX-BC-5	AxisX-BC-6	AxisY-BC-1	AxisY-BC-2	AxisY-BC-3	AxisY-BC-4	AxisY-BC-5	AxisY-BC-6	AxisZ-BC-1	AxisZ-BC-2	AxisZ-BC-3	AxisZ-BC-4	AxisZ-BC-5	AxisZ-BC-6	AxisA-BC-1	AxisA-BC-2	AxisA-BC-3	AxisA-BC-4	AxisA-BC-5	AxisB-BC-1	AxisB-BC-2	AxisB-BC-3	AxisB-BC-4	AxisB-BC-5	AxisC-BC-1	AxisC-BC-2	AxisC-BC-3	AxisC-BC-4	AxisC-BC-5	TankHydraulic-BC-1	TankHydraulic-BC-2
   		Spindle.MotorHeatSrcStator	Spindle.MotorHeatSrcRotor	Spindle.Bearing1HeatSrcOuter	Spindle.Bearing1HeatSrcInner	Spindle.Bearing1HTC	Spindle.Bearing2HeatSrcOuter	Spindle.Bearing2HeatSrcInner	Spindle.Bearing2HTC	Spindle.Bearing3HeatSrcOuter	Spindle.Bearing3HeatSrcInner	Spindle.Bearing3HTC	Spindle.Bearing4HeatSrcOuter	Spindle.Bearing4HeatSrcInner	Spindle.Bearing4HTC	Spindle.HeatSrcAirgap	Spindle.HeatSrcCair	Spindle.CoolantHTC	Spindle.CoolantTemperature	Spindle.CoolantHeatFlux	Tank.Temperature	Tank.HeatFluxToAmbient	PumpHydraulics.HeatSrcMotor	PumpHydraulics.MotorHTC	PumpHydraulics.HeatSrcPump	PumpHydraulics.PumpHTC	PumpCoolant.HeatSrcMotor	PumpCoolant.MotorHTC	PumpCoolant.HeatSrcPump	PumpCoolant.PumpHTC	PumpHE.HeatSrcMotor	PumpHE.MotorHTC	PumpHE.HeatSrcPump	PumpHE.PumpHTC	CtrlSpindle.HeatSource	AmpAxes.HeatSource	CtrlAxesLin.HeatSource	CtrlAxesRot.HeatSource	AxisX.MotorHeatSrcStator	AxisX.MotorHeatSrcRotor	AxisX.TransmissionHeatSrc	AxisX.BrakeHeatSrc	AxisX.CoolantTemperature	AxisX.CoolantHTC	AxisY.MotorHeatSrcStator	AxisY.MotorHeatSrcRotor	AxisY.TransmissionHeatSrc	AxisY.BrakeHeatSrc	AxisY.CoolantTemperature	AxisY.CoolantHTC	AxisZ.MotorHeatSrcStator	AxisZ.MotorHeatSrcRotor	AxisZ.TransmissionHeatSrc	AxisZ.BrakeHeatSrc	AxisZ.CoolantTemperature	AxisZ.CoolantHTC	AxisA.MotorHeatSrcStator	AxisA.MotorHeatSrcRotor	AxisA.BrakeHeatSrc	AxisA.CoolantTemperature	AxisA.CoolantHTC	AxisB.MotorHeatSrcStator	AxisB.MotorHeatSrcRotor	AxisB.BrakeHeatSrc	AxisB.CoolantTemperature	AxisB.CoolantHTC	AxisC.MotorHeatSrcStator	AxisC.MotorHeatSrcRotor	AxisC.BrakeHeatSrc	AxisC.CoolantTemperature	AxisC.CoolantHTC	TankHydraulic.Temperature	TankHydraulic.HeatFluxToAmbient
[s]		[W]	[W]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[K]	[W]	[K]	[W]	[W]	[W/K]	[W]	[W/K]	[W]	[W/K]	[W]	[W/K]	[W]	[W/K]	[W]	[W/K]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[K]	[W/K]	[K]	[W]
-	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	DIRICHLET	NEUMANN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	DIRICHLET	NEUMANN
10.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999999998	-1.7053025658242402E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.15000000000015	0.025068008824203545	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
20.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999999998	-1.1368683772161602E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0020706884308788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.15000000000015	0.011288379923491134	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
30.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999999998	-5.684341886080801E-11	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.0036379313572701202	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
40.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999999999964	-1.7053025658242402E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.011552127029329121	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
50.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999999997	-1.1368683772161602E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0020706884308788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.015559133548158341	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
60.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999999999935	-3.9790393202565605E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0020706884308788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.007078882823248329	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
70.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999999999964	-5.684341886080801E-11	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0020706884308788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.014084640530399452	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
