,Shortcut,Machine state,Process,Process energy,Fanuc power,Cooling pump energy,Cooling compressor energy,Spindle temperature,Cooler tank temperature,Ambient temperature,Cutting fluid pump,Chip conveyor,Control/brake power,Compressed air,Total electric power,,,,,,,,,,,,Active sum (AS),
Machine state,MS,-,4,0,4,4,3,0,0,0,0,0,4,4,0,,,,,,,,,,,,23,
Process,P,1,-,4,0,1,0,0,0,0,4,4,2,1,0,,,,,,,,,,,,17,
Process energy,PE,0,0,-,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,3,
Fanuc power,FP,0,0,0,-,0,0,3,0,0,0,0,0,0,3,,,,,,,,,,,,6,
Cooling pump energy,CP,0,0,0,0,-,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,2,
Cooling compressor energy,CC,0,0,0,0,0,-,0,3,1,0,0,0,0,1,,,,,,,,,,,,5,
Spindle temperature,TS,0,0,0,0,0,0,-,0,1,0,0,0,0,0,,,,,,,,,,,,1,
Cooler tank temperature,TC,0,0,0,0,0,3,0,-,1,0,0,0,0,0,,,,,,,,,,,,4,
Ambient temperature,TA,0,0,0,0,0,0,2,2,-,0,0,0,4,0,,,,,,,,,,,,8,
Cutting fluid pump,CF,0,0,0,0,0,0,0,0,0,-,0,0,0,3,,,,,,,,,,,,3,
Chip conveyor,CC,0,0,0,0,0,0,0,0,0,0,-,0,0,1,,,,,,,,,,,,1,
Control/brake power,CB,0,0,0,0,0,0,0,0,0,0,0,-,0,2,,,,,,,,,,,,2,
Compressed air,CA,0,0,0,0,0,0,1,0,0,0,0,0,-,2,,,,,,,,,,,,3,
Total electric power,TOT,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
Passiv sum (PS),,1,4,4,7,5,6,6,5,3,4,4,6,9,14,,,,,,,,,,,,78,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
